model_name,timestamp,n_samples,best_iteration,num_features,mae,rmse,smape,baseline_mae_lag24,baseline_mae_lag168,baseline_mae_linehour,improvement_over_lag24,improvement_over_linehour,by_hour,top10_worst_lines,feature_importance_csv,feature_importance_plot,shap_plot,prediction_time_sec,by_hour_mae,top10_worst_lines_mae
lgbm_transport_v1,2025-11-06T21:27:00.191101,802369,-1,28,55.315186084663225,396.89324205860976,0.18837254743746254,321.9496042344607,315.2785783990538,155.89349568245456,82.8186817572915,64.51732264870316,"{'0': 84.17959521512229, '1': 96.52951100955096, '2': 105.3365502859488, '3': 110.26994033921659, '4': 82.10386943990233, '5': 32.88960705130896, '6': 37.59979214043448, '7': 74.28310301254317, '8': 78.46061598007425, '9': 56.301521146039526, '10': 41.3165218370301, '11': 51.16008825477366, '12': 53.07582966229702, '13': 54.70786592213347, '14': 55.5575933583975, '15': 46.860198978244554, '16': 57.638906490331095, '17': 61.20883728122971, '18': 71.04914486248508, '19': 59.30485929255015, '20': 47.04057419421967, '21': 44.190969522567066, '22': 46.0869439579635, '23': 45.0690426569197}","{'MARMARAY': 3370.3167937278868, '34': 3306.804996252612, 'M2': 2564.149534055407, 'M5': 2491.167070701411, 'M4': 1820.8743150229345, 'M3': 1800.058582511122, 'T1': 1672.5238635206094, 'M7': 1505.4390124089903, 'M1': 1252.0523801821462, 'T4': 930.0394034088821}",/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v1.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v1.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v1.png,11.555795907974243,,
lgbm_transport_v2,2025-11-06T21:38:26.256413,802369,-1,28,54.12621923242129,391.3021282567184,0.18575849947675804,321.9496042344607,315.2785783990538,155.89349568245456,83.18798392030209,65.28000158347012,"{'0': 75.190030950119, '1': 99.57367863738035, '2': 104.29441124861856, '3': 100.66914892585375, '4': 70.34284513805528, '5': 29.843366274255192, '6': 39.19386288565361, '7': 74.1712171042832, '8': 79.98024266511209, '9': 54.428838370900195, '10': 41.89923791284311, '11': 49.72490790204101, '12': 50.76270088692548, '13': 50.16979380529443, '14': 54.6123617460343, '15': 46.898313404807794, '16': 55.65065661767639, '17': 60.93925518091267, '18': 71.7753351698869, '19': 57.76725921399484, '20': 44.76289565565465, '21': 39.98460054471201, '22': 45.27572670224221, '23': 45.09954613275613}","{'MARMARAY': 3336.6096982640197, '34': 3132.304273062384, 'M2': 2480.0306894216073, 'M5': 2337.1550460928347, 'M3': 1823.0479015818923, 'M4': 1743.8163547974307, 'T1': 1666.4382474088825, 'M7': 1492.6393984001215, 'M1': 1210.1109428134675, 'T4': 936.207723298399}",/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v2.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v2.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v2.png,20.461896896362305,,
lgbm_transport_v3,2025-11-06T23:41:35.547181,802369,-1,28,71.30254183592706,479.1784039219414,0.2258361766163771,321.9496042344607,315.2785783990538,155.89349568245456,77.85288725374522,54.26201617727148,"{'0': 125.1743632164274, '1': 142.2740740378941, '2': 135.32455645267655, '3': 91.93801561986429, '4': 100.12472009912972, '5': 40.28121205982221, '6': 54.11522341264224, '7': 109.49585019660316, '8': 110.43074325877677, '9': 65.96108483207762, '10': 50.2220529093305, '11': 52.099629880871895, '12': 57.36279905095844, '13': 58.16066897042942, '14': 58.118580526115494, '15': 66.11713600780163, '16': 73.3778543784548, '17': 92.2782343784815, '18': 110.54652526149017, '19': 80.09509219573337, '20': 46.54706956139576, '21': 48.75248384586419, '22': 52.88649137737522, '23': 75.15830819803801}","{'MARMARAY': 3909.685273244556, '34': 3663.961284681702, 'M2': 3135.280577837296, 'M5': 2569.9521535198373, 'M3': 2412.977016103237, 'T1': 2019.977792155842, 'M4': 1985.8003465493014, 'M7': 1764.5350698618734, 'M1': 1551.593837424204, 'T4': 1314.389618159985}",/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v3.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v3.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v3.png,18.244282007217407,,
lgbm_transport_v4,2025-11-13T14:14:31.258486,802369,-1,28,34.140838404774335,216.08570960870898,0.19559839503109247,321.9496042344607,315.2785783990538,155.89349568245456,89.39559547341106,78.09989553745261,"{'0': 41.19600426148397, '1': 40.90713852508784, '2': 31.40163497371798, '3': 17.184751796135686, '4': 15.745514105562194, '5': 20.00124095571866, '6': 21.241351447030947, '7': 34.29441012816591, '8': 45.56477143763302, '9': 37.580336287980245, '10': 34.38616745998539, '11': 29.01179472521032, '12': 26.68294440718203, '13': 29.803009335283217, '14': 31.2868368431713, '15': 34.913604926795074, '16': 38.97540203884382, '17': 41.962939592934426, '18': 47.61002027473206, '19': 44.181126143400775, '20': 29.53782361869545, '21': 28.571912867744356, '22': 28.49105009518454, '23': 30.83192744143189}","{'MARMARAY': 1953.9610189241303, '34': 1892.7503299987475, 'M2': 1028.8843902208434, 'M5': 832.6052450275301, 'T1': 762.5356950564402, 'M1': 722.5728998132274, 'M4': 706.258983002452, 'M3': 687.9871619358189, 'M7': 572.8630963637379, 'M9': 568.7987644313189}",/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v4.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v4.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v4.png,7.065062046051025,,
lgbm_transport_v5,2025-11-17T16:08:11.143809,802369,-1,18,115.95220286508889,764.3769934194513,0.39855377009449366,321.9496042344607,315.2785783990538,155.89349568245456,63.98436235360414,25.620884721658697,,,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v5.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v5.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v5.png,6.249634027481079,"{'0': 119.69412292133306, '1': 141.47376951894563, '2': 116.56670102610211, '3': 80.03920416782057, '4': 59.31740714360472, '5': 49.62383018546858, '6': 83.2485516326577, '7': 200.6601519304053, '8': 239.3846752415366, '9': 115.72019067431886, '10': 82.674300391662, '11': 81.53060717123813, '12': 92.53040310011072, '13': 95.58615072385129, '14': 96.73436116160146, '15': 103.00295483116516, '16': 113.02685893987618, '17': 141.74700541829526, '18': 186.9677641668874, '19': 99.29224904547478, '20': 76.411341675788, '21': 87.90157826142783, '22': 94.95728479289501, '23': 95.41082379102963}","{'MARMARAY': 6285.8742752144, '34': 5605.1852521544415, 'M2': 4517.4637660215285, 'T1': 3591.694579820458, 'M4': 2984.6256258734534, 'M5': 2838.2679069861447, 'M1': 2784.594493318424, 'M3': 2502.2232834228216, 'M7': 2122.019404510681, 'T4': 1864.0367725049384}"
lgbm_transport_v6,2025-11-17T16:36:34.748680,802369,-1,18,88.09707276730143,396.3169730133262,0.44478023726406474,321.9496042344607,315.2785783990538,155.89349568245456,72.63637798941213,43.48893622428627,,,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/feature_importance_lgbm_transport_v6.csv,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/feature_importance_lgbm_transport_v6.png,/Users/farukkamcici/PycharmProjects/ibb-transport/reports/figs/shap_summary_lgbm_transport_v6.png,9.730835914611816,"{'0': 77.13037007406317, '1': 107.63521327434702, '2': 96.6176804669232, '3': 69.79180341932238, '4': 63.55430693057704, '5': 41.82354492718931, '6': 71.25121061933439, '7': 116.86609470057718, '8': 123.35293479251955, '9': 86.17449583090655, '10': 75.96680903622301, '11': 79.65215874030615, '12': 87.42185942295794, '13': 87.12628322679781, '14': 87.09105630928234, '15': 94.10095185430208, '16': 101.65774392822628, '17': 101.72963508448527, '18': 104.28245759921923, '19': 84.24323427651805, '20': 70.31881838131191, '21': 73.76469920569238, '22': 79.04267814046396, '23': 74.30297531321759}","{'MARMARAY': 3494.449629185896, '34': 3052.2506202467516, 'M2': 2271.1154864688283, 'M5': 1845.3022925301775, 'M3': 1808.6919085669356, 'T1': 1714.7034874221613, 'M4': 1488.246742616548, 'M7': 1277.6305796475597, 'M1': 1186.1842977728872, 'T4': 919.3217941894341}"
