feature,importance
roll_mean_24h,452941749459426.0
hour_of_day,164614601556334.0
line_name,76602603301172.0
roll_std_24h,64142136076146.0
lag_168h,27256046389622.0
day_of_week,17398008319604.0
lag_24h,11677604164360.0
is_weekend,2751295533618.0
month,2519115533080.0
lag_48h,2059206498884.0
temperature_2m,1356660515444.0
is_holiday,817925073188.0
wind_speed_10m,325712903544.0
season,323016895682.0
is_school_term,245468443360.0
precipitation,125951927906.0
holiday_win_p1,113696832848.0
holiday_win_m1,96904794318.0
